Date,Open,High,Low,Close,Volume
"Jun 23, 2017",975.50,986.62,974.46,986.09,"1,563,985"
"Jun 22, 2017",976.87,980.50,973.31,976.62,"1,009,476"
"Jun 21, 2017",970.79,979.67,969.16,978.59,"1,161,607"
"Jun 20, 2017",975.31,980.79,968.20,968.99,"1,297,287"
"Jun 19, 2017",969.65,979.30,968.20,975.22,"1,468,837"
"Jun 16, 2017",957.91,959.95,948.70,958.62,"2,559,207"
"Jun 15, 2017",948.02,960.68,940.37,960.18,"2,427,639"
"Jun 14, 2017",975.50,979.70,959.51,967.93,"1,505,486"
"Jun 13, 2017",972.04,977.91,962.01,970.50,"2,005,356"
"Jun 12, 2017",958.72,968.00,936.80,961.81,"4,202,109"
"Jun 9, 2017","1,005.49","1,005.50",953.37,970.12,"3,647,857"
"Jun 8, 2017","1,004.23","1,005.60",996.62,"1,004.28","1,687,925"
"Jun 7, 2017",998.82,"1,003.91",995.81,"1,001.59","1,374,097"
"Jun 6, 2017","1,003.31","1,008.61",994.80,996.68,"1,552,114"
"Jun 5, 2017",997.89,"1,007.40",995.45,"1,003.88","1,378,916"
"Jun 2, 2017",988.59,996.48,987.07,996.12,"1,735,469"
"Jun 1, 2017",990.96,993.14,981.29,988.29,"1,306,384"
"May 31, 2017",996.21,999.60,981.68,987.09,"1,724,095"
"May 30, 2017",992.50,997.62,991.36,996.17,"1,516,685"
"May 26, 2017",992.00,996.39,987.36,993.27,"1,636,416"
"May 25, 2017",979.00,995.78,977.82,991.86,"1,954,149"
"May 24, 2017",975.26,978.12,971.63,977.61,"1,142,488"
"May 23, 2017",969.96,974.51,964.50,970.55,"1,545,421"
"May 22, 2017",957.00,964.82,956.56,964.07,"1,387,392"
"May 19, 2017",952.82,959.56,952.00,954.65,"1,360,299"
"May 18, 2017",943.20,954.18,941.27,950.50,"1,800,465"
"May 17, 2017",959.70,960.99,940.06,942.17,"2,449,058"
"May 16, 2017",963.55,965.90,960.35,964.61,"1,101,544"
"May 15, 2017",955.29,962.70,952.82,959.22,"1,337,697"
"May 12, 2017",957.85,957.98,952.06,955.14,"1,214,851"
"1 - 30 of 251 rows
Show rows:","1 - 30 of 251 rows
Show rows:","1 - 30 of 251 rows
Show rows:","1 - 30 of 251 rows
Show rows:","1 - 30 of 251 rows
Show rows:","1 - 30 of 251 rows
Show rows:"
"May 11, 2017",951.29,957.99,948.61,955.89,"1,031,093"
"May 10, 2017",956.22,956.71,949.84,954.84,"1,145,969"
"May 9, 2017",961.33,962.20,954.40,956.71,"1,687,942"
"May 8, 2017",947.45,960.99,947.40,958.69,"1,876,690"
"May 5, 2017",956.72,958.44,948.10,950.28,"1,615,548"
"May 4, 2017",950.29,959.14,947.37,954.72,"1,938,260"
"May 3, 2017",936.05,950.20,935.21,948.45,"1,824,759"
"May 2, 2017",933.27,942.98,931.00,937.09,"1,751,292"
"May 1, 2017",924.15,935.82,920.80,932.82,"2,327,782"
"Apr 28, 2017",929.00,935.90,923.22,924.52,"3,845,857"
"Apr 27, 2017",890.00,893.38,887.18,891.44,"2,342,303"
"Apr 26, 2017",891.39,892.99,885.15,889.14,"1,323,297"
"Apr 25, 2017",882.26,892.25,879.28,888.84,"2,038,032"
"Apr 24, 2017",868.44,879.96,866.11,878.93,"1,696,483"
"Apr 21, 2017",860.62,862.44,857.73,858.95,"1,172,870"
"Apr 20, 2017",859.74,863.93,857.50,860.08,"1,188,843"
"Apr 19, 2017",857.38,860.20,853.53,856.51,"1,080,336"
"Apr 18, 2017",852.54,857.39,851.25,853.99,"936,201"
"Apr 17, 2017",841.38,855.64,841.03,855.13,"1,049,125"
"Apr 13, 2017",841.04,843.73,837.85,840.18,"1,073,650"
"Apr 12, 2017",838.46,843.72,837.59,841.46,"1,135,775"
"Apr 11, 2017",841.70,844.63,834.60,839.88,"974,343"
"Apr 10, 2017",841.54,846.74,840.79,841.70,"1,046,215"
"Apr 7, 2017",845.00,845.88,837.30,842.10,"1,111,610"
"Apr 6, 2017",849.50,853.59,844.00,845.10,"1,533,564"
"Apr 5, 2017",854.71,860.59,847.52,848.91,"1,855,153"
"Apr 4, 2017",848.00,853.00,847.50,852.57,"1,348,494"
"Apr 3, 2017",848.75,859.00,847.53,856.75,"1,969,402"
"Mar 31, 2017",846.83,849.56,845.24,847.80,"1,440,982"
"Mar 30, 2017",851.98,852.00,846.77,849.48,"949,398"
"31 - 60 of 251 rows
Show rows:","31 - 60 of 251 rows
Show rows:","31 - 60 of 251 rows
Show rows:","31 - 60 of 251 rows
Show rows:","31 - 60 of 251 rows
Show rows:","31 - 60 of 251 rows
Show rows:"
"Mar 29, 2017",842.75,851.58,841.38,849.87,"1,457,347"
"Mar 28, 2017",839.69,845.40,832.26,840.63,"1,519,202"
"Mar 27, 2017",828.09,841.38,824.30,838.51,"1,935,211"
"Mar 24, 2017",842.00,844.00,829.10,835.14,"2,105,682"
"Mar 23, 2017",841.39,841.69,833.00,839.65,"3,287,669"
"Mar 22, 2017",849.48,855.35,847.00,849.80,"1,366,749"
"Mar 21, 2017",870.06,873.47,847.69,850.14,"2,537,978"
"Mar 20, 2017",869.48,870.34,864.66,867.91,"1,542,199"
"Mar 17, 2017",873.68,874.42,868.37,872.37,"1,868,252"
"Mar 16, 2017",870.53,872.71,867.52,870.00,"1,104,452"
"Mar 15, 2017",867.94,869.88,861.30,868.39,"1,332,885"
"Mar 14, 2017",863.75,867.58,860.13,865.91,"1,061,692"
"Mar 13, 2017",860.83,867.13,860.82,864.58,"1,166,605"
"Mar 10, 2017",862.70,864.23,857.61,861.40,"1,336,585"
"Mar 9, 2017",853.69,860.71,852.67,857.84,"1,347,697"
"Mar 8, 2017",853.12,856.93,851.25,853.64,"1,029,834"
"Mar 7, 2017",847.26,853.33,845.52,851.15,"1,038,696"
"Mar 6, 2017",846.86,848.94,841.17,847.27,"1,047,872"
"Mar 3, 2017",848.94,850.82,844.70,849.08,"1,006,612"
"Mar 2, 2017",856.31,856.49,848.72,849.85,"1,250,938"
"Mar 1, 2017",851.38,858.00,849.02,856.75,"1,818,671"
"Feb 28, 2017",847.35,848.83,841.44,844.93,"1,383,119"
"Feb 27, 2017",844.95,850.67,843.01,849.67,"1,010,333"
"Feb 24, 2017",847.65,848.36,842.96,847.81,"1,346,189"
"Feb 23, 2017",851.08,852.62,842.50,851.00,"1,386,681"
"Feb 22, 2017",848.00,853.79,846.71,851.36,"1,224,889"
"Feb 21, 2017",847.99,852.20,846.55,849.27,"1,261,062"
"Feb 17, 2017",841.31,846.94,839.78,846.55,"1,461,210"
"Feb 16, 2017",838.50,842.69,837.26,842.17,"1,005,084"
"Feb 15, 2017",838.81,841.77,836.22,837.32,"1,357,185"
"61 - 90 of 251 rows
Show rows:","61 - 90 of 251 rows
Show rows:","61 - 90 of 251 rows
Show rows:","61 - 90 of 251 rows
Show rows:","61 - 90 of 251 rows
Show rows:","61 - 90 of 251 rows
Show rows:"
"Feb 14, 2017",839.77,842.00,835.83,840.03,"1,363,345"
"Feb 13, 2017",837.70,841.74,836.25,838.96,"1,295,708"
"Feb 10, 2017",832.95,837.15,830.51,834.85,"1,415,128"
"Feb 9, 2017",831.73,831.98,826.50,830.06,"1,194,238"
"Feb 8, 2017",830.53,834.25,825.11,829.88,"1,302,225"
"Feb 7, 2017",825.50,831.92,823.29,829.23,"1,666,605"
"Feb 6, 2017",820.92,822.39,814.29,821.62,"1,350,875"
